"","id","title","geography","geography_iso","document_types","sectors","events","documents","description"
"93",4019,"Law no. 08.222 (on the forestry code)","Central African Republic","CAF","Law","Environment;LULUCF;Transport","17/10/2008|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdDhIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--0d5aca6f74cbc1fa39c1ef2416b022acab65d687/f|","This law asserts in art. 1 that the forest in general and the Central African forest in particular fulfill multiple functions. It maintains soil fertility, generates many environmental services and contributes to carbon sequestration, survival and well-being of people, including culturally and intimately associated people and wildlife. This Code and its texts establish a legal framework for the management of the forest sector in the Central African Republic. In this perspective, it aims to: 1) reconcile the exploitation of forest products with the requirements of the conservation of forest heritage and biological diversity for sustainable development, 2) ensure the conservation and protection of training for their regeneration, and 3) to ensure the sustainable management of forest ecosystems."
"104",1315,"Renewable Energy Act","China","CHN","Law","Energy;Transport","01/01/2006|Law passed||;26/12/2009|Last amendment||","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdUVKIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--e01afcd0906a009f99060c7a25b26a83bad1bb12/f|;Notice 25/2021|http://zfxxgk.nea.gov.cn/2021-05/11/c_139958210.htm|zh","This Act describes duties of the government, business and other users in renewable energy development and use. It includes measures and goals relating to mandatory grid connection, price management regulation, differentiated pricing, special funds and tax reliefs, and sets the goal to realise 15% of China's energy from renewable sources by 2020.<br>&nbsp;<br>&nbsp;Energy - supply-side policies: The Act requires the government to encourage and support the application of renewable energy in various areas.<br>&nbsp;<br>&nbsp;Research and development: The Act requires that the government budget establishes a renewable energy development fund.<br>&nbsp;<br>&nbsp;Monitoring arrangements: It requires that energy authorities of the State Council are responsible for organising and co-ordinating national surveys and management of renewable energy resources, and work with related departments to establish technical regulations for resource surveys. Relevant departments of the State Council, within their respective authorities, are responsible for related renewable energy resource surveys. The survey results will be summarised by the energy authority in the State Council.<br>&nbsp;<br>Energy authorities of the State Council must set middle- and long-term targets for the total volume of renewable energy at the national level, which shall be implemented and released to the pubic after being approved by the State Council. Notice 25/2021 determines the objectives for solar and wind in particular for the year 2021.<br><br>A <a href=""http://www.npc.gov.cn/npc/c30834/201912/2b7568de01944c33b9326c325dcd498f.shtml"">report </a>of the Congress' Law Enforcement Inspection Team of the Standing Committee inspecting the implementation of the law was published in December 2019. A draft amendment of the law was published in 2020.</div><div><br>"
"105",2041,"Energy Conservation Law","China","CHN","Law","Energy","28/10/2007|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZ2NJIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--fc434b29d6d0ed05eca0ad238319663fe541a142/f|","The Act aims to strengthen energy conservation, particularly for key energy-using entities, promote efficient use of energy and adoption of energy conservation technology. The Act requires the government to encourage and support the application of renewable energy in various areas.<br />
<br />
Monitoring arrangements: the National People's Congress serves as the monitoring body."
"106",10088,"Circular economy promotion law","China","CHN","Law","Agriculture;Economy-wide;Industry","29/08/2008|Approved||","Link to translation|https://www.lawinfochina.com/display.aspx?id=7025&lib=law|en","This law promotes the development of a circular economy, aims to improve resource usage and protect the environment. It notably seeks to enhance energy efficiency, increase the role of renewable energy sources&nbsp;"
"107",10385,"Electric Power Law","China","CHN","Act","Energy","28/12/1995|First adopted||;29/12/2018|climate-related clauses approved||","Link to full translated text on official website|http://www.npc.gov.cn/zgrdw/englishnpc/Law/2007-12/12/content_1383731.htm|en;Link to original version on external website|http://www.lawinfochina.com/display.aspx?id=29714&lib=law|zh","This law aims to guarantee and promote the development of the electric power industry, safeguard the lawful rights and interests of investors, companies and consumers of electric power and to guarantee safe operation. Article 5 stipulates that the State encourages and supports the generation of electricity through the use of renewable and clean energy resources."
"108",10479,"Wetlands Conservation Law of the People's Republic of China","China","CHN","Law","Environment;LULUCF","24/12/2021|Approved||","Link to full text on external website (PDF)|http://extwprlegs1.fao.org/docs/pdf/chn207861.pdf|zh","This law was enacted to strengthen wetland protection, maintain wetland ecological functions and biodiversity, ensure ecological security, promote the construction of ecological civilization, and achieve harmonious coexistence between man and nature (art 1).<br><br>Article 39 of the law states that scientific studies shall be performed and measures taken accordingly to the local conditions of the original and degraded wetlands to ensure a restoration of their ecological functions. It further charges local governments to take measures relative to water body management, land improvement, vegetation restoration, and animal protection to enhance functions and carbon sink capabilities."
"120",4382,"Law no. 15-2003 (creating the National Rural Electrification Agency)","Congo","COG","Law","Energy;Rural","10/04/2003|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcVVIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--5093e628c637da5bd4f375e86061b000d10c406e/f|","This law creates the National Agency for Rural Electrification, under the legal authority of the Ministry for Electricity. The law further defines the Agency's missions, including rural electrification planning, promotion of new technologies including renewables and energy efficiency, and seeking budgets for related programmes."
"121",4951,"Law no 23 - 2012 establishing the National Institute of Forestry Research","Congo","COG","Law","Environment;LULUCF;Transport","24/09/2012|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdThHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--aa1fbe5e038ef830facfa201bda183079340fea3/f|","This law creates the National Institute of Forestry Research.<br />
<br />
The Institute's missions are 1) to organize, conduct and carry out basic and applied research aimed at the promotion of sustainable forest development, particularly in the fields of forest management, forestry, agroforestry, forest genetics , wood technology, non-timber forest products, conservation and management of biodiversity, climate change, and the environment; 2) to implement scientific programming around the priority axes for the development of the country, based on the real needs of the populations and the users; 3) to carry out scientific expertise in its field of competence; 4) to participate in the valorization of the results of its research and its know-how; (5) to support training, research and research; (6) to contribute to the development of research policy in the fields falling within its competence; and 7) to publish and disseminate the results of its work and contribute to the development of scientific knowledge and information."
"127",1137,"Act No. 75 on the Civil Defence and Decree-Law No. 170 on the System of measures of Civil Defence (Disaster-management as response to frequent extreme events)","Cuba","CUB","Law","Disaster Risk Management (Drm);Economy-wide;Transport","21/12/1994|Law passed||;19/05/1997|Last amended||","Link to law 75 on official website|http://www.parlamentocubano.gob.cu/index.php/documento/ley-de-la-defensa-nacional/|es;Full text of Decree Law 170 (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbW9NIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--bda483175a199dedc2476d73b4a91172f7c936bc/cub82158.pdf|es","Law No. 75 defines Civil Defence as 'a system of defensive state measures taken in peacetime during exceptional circumstances, aimed at protecting the population and the national economy from destruction by enemy or from natural disasters and other types of catastrophes, including deterioration of the environment'. When the exceptional circumstances apply, the government can use all the resources and activities of the country to respond to the needs of national defence.&nbsp;<br><br>Decree-Law 170 then lays down the different Civil Defence measures that can be developed to help to prevent the special circumstances from occurring or minimise their impacts. It establishes the National Etat-Major of Civil Defence that co-ordinates the deployment of measures by different state organs, economic entities and social institutions in order to protect the population and the economy. Although the laws do not directly mention climate change, they lay down clear adaptation measures to extreme weather events, whose increased occurrence over the past years is recognised as part of the impact of climate change.<br>&nbsp;<br>&nbsp;In addition, Directive 1 of the Vice-President of the National Defence Council (2010) calls on the Ministry of Science, Technology and Environment to carry out studies on the dangers, vulnerability and risk of disasters, as well as evaluation of potential climate change impacts."
"128",1139,"Decree-Law No. 147 on the Reorganisation of Central State Administrative Organs (creation of Ministry of Sciences, Technology and Environment responsible for Climate Change policy)","Cuba","CUB","Decree Law","Transport","21/04/1994|Law passed||","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbWtIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--38f983960c1781550517020b54f394c820a10a95/f|es","The Decree-Law abolishes the National Commission for Energy and other state bodies and transfers its functions to the Ministry of Economy and Planning and Ministry of Basic Industry. It further transforms the Academy of Science of Cuba into the Ministry of Sciences, Technology and Environment, and assigns it the responsibilities previously carried out by the National Commission for Protection of the Environment and the Rational Use of Natural Resources, the National Commission for Atomic Energy (established in 1979) and the Commission Responsible for the Grand National Park Sierra Maestra."
"129",8602,"Decree Law no 337 on the terrestrial waters","Cuba","CUB","Decree Law","Water","01/07/2017|Law passed||","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZzRIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--f9fdd5e9be1b558eaeac2f3e5610ebb31c131e09/f|es","The law sets the legal framework to organise the resilience of the country's inner waters, and mentions climate change adaptation as a core goal.<br>&nbsp;<br>&nbsp;The law was approved by the Cuban Parliament and published in the Official Gazette no 124, with Decree no. 337."
"130",10339,"Constitution of Cuba","Cuba","CUB","Constitution","Economy-wide","25/02/2019|Constitution adopted||","Full text|https://www.constituteproject.org/constitution/Cuba_2019.pdf?lang=en|en","The Constitution of Cuba was approved in a public national referendum in February 2019. It was drafted and submitted to public consultation between 2018 and 2019. The final version, published in January 2019 ahead of the referendum, was approved by 86.85 percent out of 8.7 million voters. In its preamble, the Constitution states Cuba’s commitment to “never returning to capitalism as a regime sustained by the exploitation of man by man, and that it is only in socialism and communism that a human being can achieve his or her full dignity”.&nbsp;<br><br>The Constitution’s climate provision is motivated by Cuba’s sovereignty, as well as the antiimperialist and internationalist principles. This provision sets forth that the Republic will respond to climate change in light of the threat that it represents to humans, but considering the common but differentiated responsibilities principle, the international economic order, as well as production and consumption patterns. This climate provision is set in the Constitution’s main text in article 16, which reads: “The Republic of Cuba bases its international relations on the exercise of its sovereignty as well as on the antiimperialist and internationalist principles in accordance with the interests of the people and, in consequence: [..] f. Promotes the protection and conservation of the environment as well as responding to climate change, which threatens the survival of the human species, through the recognition of common, yet differential, responsibilities; the establishment of a more just and equitable international economic order as well as the eradication of irrational patterns of production and consumption; […]”."
"131",4952,"2014-390 Act of 20 June 2014 guidance on sustainable development","Côte d'Ivoire","CIV","Law","Economy-wide","01/06/2012|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdTRHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--df8078c40ea3edc42d0c90874e0268e9db83a38e/f|","This law defines the fundamental objectives of governmental action with regard to sustainable development. It notably aims at specifying the related political tools, integrate sustainability principles in all public and private activities, come up with climate change specific tools, and create the conditions for rational and sustainable use of natural resources."
"132",4953,"Law n ° 2014-427 (Ivorian forestry code)","Côte d'Ivoire","CIV","Law","Buildings;Environment;LULUCF","01/07/2014|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdXdHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--47b6cf8cf4f3837d24bfe32ddca8e6a806b11ffe/f|","This law sets up the Ivorian Forestry Code in order to define sustainable management rules for the country's forests. The law notably aims at reinforcing the forests' contribution to sustainable development, preserve and value the biological diversity, and promote the active participation of local populations and NGOs to sustainable management of forests. The document specifies the different categorisations of forests (for biodiversity conservation, for sustainable commercial use)."
"133",4954,"Law No. 2015-537 (Agricultural Guidance of Cote d'Ivoire)","Côte d'Ivoire","CIV","Law","Agriculture;LULUCF;Transport","01/07/2015|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdTBHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--b9a36f3903bda1fc8fa2af2cc0782492bcf36e63/f|","This law precises the national agricultural development policy of Ivory Coast. It notably aims at developping an agriculture sector ensuring food sovereignty, good nutrition and good employment. The law's dispositions apply among others to agriculture, forestry, agroforestry, unless more specific documents apply. Sustainable land management is one of the core long-term objective.<br>&nbsp;<br>&nbsp;Art. 55 states that the State constitutes a reserve of pre-basic and basic seeds for each of the vegetable, animal, fishery, aquaculture and forestry productions that are seriously threatened by climatic hazards.<br>&nbsp;<br>&nbsp;As part of the program aimed at improving food sovereignty and security by mitigating the effects of climate change on agricultural and food production, the State and local authorities are carrying out rehabilita- tion of hydro-agricultural developments (art. 65)."
"134",4955,"Law No. 2014-132 relating to the code of electricity","Côte d'Ivoire","CIV","Law","Energy","01/03/2014|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdXNHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--0bf4af953ad498f67a4cf961d933301821561c72/f|","This law defines the general principles of organization, operation and development and sets specific rules for the electricity sector. It notably aims at 1) guaranteeing energy independence and security of electricity supply; 2) promoting the development of new and renewable energies; 3) develop electrical energy and promote access to this energy; 4) promoting energy management; 5) creating the economic conditions allowing the return on investment; 6) promoting consumer rights; and 7) promoting competition and the rights of operators.<br />
<br />
Art. 30 states that the conclusion of an agreement and the issuance of a prior authorization for the exercise of activities in the field of renewable energies must take into account in particular: 1) the social well-being of the populations; 2) national economic development; 3) coverage of national electricity needs; 4) national food security."
"135",10338,"Constitution of Côte d’Ivoire","Côte d'Ivoire","CIV","Constitution","Economy-wide","08/11/2016|Constitution Adopted||","Full text|https://www.constituteproject.org/constitution/Cote_DIvoire_2016.pdf?lang=en|en","Côte d’Ivoire’s Constitution was established in 2016. This Constitution was drafted by a Panel of Experts appointed by the then President, Alassane Ouattara. The draft was presented to the National Assembly in 2016 for approval before heading to a constitutional referendum. The Assembly approved the draft in October that same year, with more than the qualified majority needed for this purpose. The Constitution was then approved in the subsequent constitutional referendum held later that same month by 93.42% of votes with a 42.42% turnout. In its article 28, the Constitution establishes that “[T]he State is committed to respecting the Constitution, human rights and public freedoms. It ensures awareness and dissemination of them among the population”.&nbsp;<br><br>The Constitution recognizes in article 27 the right to a healthy environment, although climate change is not addressed in this article. However, in its preamble, the Constitution includes a provision to express the country’s commitment to contribute to climate protection the following way: “We, the People of Côte d'Ivoire; […] Express our commitment to: […] contributing to climate protection and to maintaining a healthy environment for future generations; […]”."
"139",4956,"Law No. 32/AN/13/ 7th L establishing the Djibouti Office of Geothermal Energy Development (ODDEG)","Djibouti","DJI","Law","Energy;Industry","20/01/2014|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdW9HIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--9ec1a64a0499b72dd914b70a9ed887c285f98724/f|","This law creates the Djibouti Office of Geothermal Energy Development, which is supervised by the presidency of the republic. The Office is in charge of 1) Identification of the various types of geothermal resources of the country (high and low energy); 2) Conducting exploration, reconnaissance and studies; 3) Pre-feasibility and feasibility studies aimed at the industrial development of these resources and the diversification of their uses; and 4) The identification, with the appropriate partners, of public and private operators likely to ensure the development of geothermal energy production, and any associated products.<br />
<br />
The Office can further work on the following tasks: 1) Ensure greater energy independence and make geothermal energy a basic source in the country's energy mix; 2) Orientation and animation of technological research, initial and continuing training; 3) The development, demonstration and dissemination of applicable techniques; (4) The performance of any construction or work of works relating to its object; - Data collection, information and advice to public and private persons; 5) Participation in the development and implementation of international and bilateral cooperation agreements in relation to its prerogatives; 6) Keep the concerned administrations, and in particular Djibouti Electricity EDD, informed of its projects."
"140",4957,"Law no. 90-AN-15-7th L establishing the legislative framework relating to energy efficiency","Djibouti","DJI","Law","Energy;Social development;Transport","01/07/2015|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdWtHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--6f4ed1aec5d6a6f47561c304a2fda226e398173c/f|","This law establishes a framework legal framework in the field of energy efficiency in the Republic of Djibouti. Energy efficiency is recognized by the State of Djibouti as a national priority insofar as it is part of an approach of national independence and sustainable economic and social development respectful of the environment.<br />
<br />
Public and private establishments, whose total primary energy consumption exceeds a threshold set by decree, are subject to the compulsory and periodic energy audit carried out, under the authority of ADME, by an accredited expert auditor. Besides, new energy-consuming projects as well as expansion projects for energy-consuming establishments with a significant energy impact at the national level must be submitted before their completion, to the consultation of the Djiboutian Agency for Energy Management. to improve their energy efficiency."
"142",8493,"Geothermal Resources Development Act, 2016","Dominica","DMA","Law","Energy;Water","24/11/2016|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbFlHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--74e9e97dfd68fc76b07a1bb697d655d8924f0f8b/f|","The Geothermal Resources Development Act of 2016 provides legal basis for the development, exploration and use of geothermal resources. It replaces the Geothermal Energy Act of 1976. The Act's objectives are to 1) enable the sustainable use of geothermal energy according to Dominica's population needs, 2) safeguard the life-supporting capacity of air, water, soil and ecosystems, and 3) avoid remedying or mitigating to any material with adverse effects on the environment.<br />
<br />
The Act establishes the Geothermal Resources Advisory Committee and details its duties and attributions. It determines the rules relating to geothermal activities including the creation, acquisition, transfer, exercise and termination of rights. It stipulates that a geothermal resource is sui generis property, but it is ""not a mineral, nor a water resource, nor a real property"". Activities must only developed in special geothermal zones set out by the Minister in accordance with the Committee.<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />"
"143",9750,"Climate Resilience Act, 2018","Dominica","DMA","Act","Adaptation;Disaster Risk Management (Drm)","19/12/2018|Law passed||","Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbzhOIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--c71152cb697e1c99d75659e1e438dd1e42f44341/climate_resilience_act_2018.pdf|en","The aims of the Climate Resilience Act are to rebuild Dominica as a climate resilient nation which is better able to withstand future hurricanes, earthquakes and other natural disasters with minimal loss of life and minimal damage to infrastructure, property, and livelihoods. The Act was passed following the devastation caused by Hurricane Maria in 2017.<br><br>Part III of the Act provides a four year mandate to the Climate Resilience Execution Agency for Dominica (CREAD). The functions of CREAD include the preparation of the Dominica Climate Resilience and Recovery Plan, the implementation of recovery measures, and a number of capacity building and knowledge sharing activities.<br><br>"
"144",1162,"Law 1-12: National Development Strategy 2030","Dominican Republic","DOM","Law","Economy-wide","01/01/2012|Law passed||","Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbk1NIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--3ca1fafba17297750b345f6e3a809c917e51f87b/ley-estrategia-nacional-de-desarrollo.pdf|es","The National Development Strategy was signed into law in January 2012. It contains a central theme that mandates national adaptation to climate change. The Law establishes a binding commitment to achieve a reduction in GHG emissions of 25% by 2030, compared to 2010 levels, and mandates a review of targets to reduce emissions every five years until 2030. Additionally, mandates that GDP increase by 140% over the period 2010-2030."
"145",1165,"Law 57-07 on Renewable Energy (supported by the 2008 Renewable Energy Regulating Decree No. 202-08)","Dominican Republic","DOM","Law","Energy","07/05/2007|Law passed||","Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBblVNIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--48ba644621e961265f1577ade3f823fade6b81e8/Ley-57-07-sobre-Energia-Renovable.pdf|es;Regulation decree (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbllNIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--e6fc855a98bae9f1f1a4a1a34f627cc9a59b44e9/REGLAMENTO-LEY-57-07.pdf|es","The law was developed in recognition of the potential that renewable energy and fuels offer to boost development. It constitutes the main regulatory framework for a range of renewable energy production, from producing ethanol to the exploitation of tidal energy.<br>&nbsp;<br>&nbsp;The objectives of the Law include:</div><ul><li>To diversify energy supply</li><li>To reduce dependency on fossil fuel imports</li><li>To promote private investment</li><li>To mitigate the environmental impacts of fossil fuels</li><li>To contribute to decentralisation of power and biofuel production; and increase competition between providers</li></ul><div>&nbsp;<br>&nbsp;The Law sets out tax exemptions and incentives for investors in renewable energy production projects. This constitutes a 100% customs tax exemption and a 10 year income tax exemption. For self-producers (e.g. domestic) a credit of up to 75% on capital costs is provided against income tax. There are also provisions for community projects.<br>&nbsp;<br>&nbsp;This includes, but is not limited to, small hydro-electric installations with capacity of not more than 5MW; wind parks with capacity of not more than 50MW; and electric and solar installations of any type and power levels.<br>&nbsp;<br>&nbsp;There are special rules for production of bioethanol, biodiesel and any other synthetic renewable fuel. Specifically, the Law provides for a 10-year exemption on income tax, duties, contributions and any other taxed from the beginning of operations for companies."
"146",1166,"Law 125-01: General electricity law","Dominican Republic","DOM","Law","Energy","26/07/2001|Law passed||","Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbklNIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--be63b375fec314881c72c4ba19702264d06666d3/Ley-No.-125-01-General-de-Electricidad.pdf|es","This Law establishes a tax on electricity production from fossil fuels. The tax 'is specifically allocated to be spent on programmes and projects for the development of renewable sources of energy at a national level, and for national energy efficiency programmes."
"147",1167,"Law 112-00: Law on hydrocarbons","Dominican Republic","DOM","Law","Energy;Transport","29/11/2000|Law passed||","full text|http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1167.pdf|es;regulation|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBb0lLIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--93417408deb735da6db17c698c27010a41a2fa6a/1167%20-%20regulation.pdf|es","A fund has been established from tax on fossil fuel and petroleum derivatives, beginning in 2005. The tax is specifically allocated to be spent on programmes and projects for the development of renewable sources of energy at a national level, and for national energy efficiency programmes."
"148",8733,"National Adaptation Strategy for the Agricultural Sector 2014-2020","Dominican Republic","DOM","Strategy","Agriculture","25/12/2014|Law passed||","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc3dGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--6d3f9dcd727f33fd94a553934688752dc5c4f5bc/f|es","This document sets the government's adaptation strategy for the agricultural sector over the period 2014-2020. The objective of this document is to establish the necessary elements to identify, articulate and guide the policy instruments, as well as the actions and measures necessary to strengthen the adaptation capacities of the agricultural sector. It is mainly focused on small and medium agricultural producers, reducing the vulnerabilities of their production systems, through the reduction of climate risks and the increase of resilience. The strategy defines and promotes agricultural innovation and research processes through the use of a model that allows to adjust, reduce and achieve a greater resilience capacity of production systems in the face of vulnerability and the effects of climate change."
"149",9053,"Law No. 147 on Risk Management","Dominican Republic","DOM","Law","Buildings;LULUCF;Transport","22/09/2002|Law passed||","Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcjBFIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--18c5949772f9cce21999ee516bdc0f307bff84f7/f|es","This law outlines the overall framework of disaster risk management in the Dominican Republic. It establishes a National System for Prevention, Mitigation and Disaster Response to coordinate government, private sector, and NGO activities, install and consolidate early warning and alert systems, carry out risk assessments, develop and maintain a database of government efforts to manage risks, disclose information to the public, mainstream risk management into land use plans, identify at-risk areas, create an environmental and risk management policy, design and coordinate sustainable recovery process, develop and update emergency plans, establish protection measures in infrastructure works, promote capacity building in government, incorporate risk management into education curricula, and develop a training system for government staff.<br><br>This law notably builds on organic law 66/97 on education, that seeks to raise awareness and education on disaster risk management.<br><br>The law was notably amended by decree 874/09."
"150",9059,"Law No. 103 of incentive to import non-conventional energy vehicles","Dominican Republic","DOM","Law","Energy;Transport","02/08/2013|Law passed||","Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcndFIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--8adbe64564e10e00df7d7bcc7fa4509d9cbdd831/f|es","This law reduces import tariffs on cars that run on alternative fuels, such as hybrid and electric vehicles."
"151",9521,"Law 94-20 on Environmental Education and Communication","Dominican Republic","DOM","Law","Social development","31/07/2020|Promulgated||","Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbEFNIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--21bed9d15c08ee226b97a18209f0c7abf79cec73/471036283-Ley-94-20.pdf|es","This law aims to include environmental education into all levels of the country's schooling and academic system.&nbsp;<br><br>Its stated goals are 1) build skills by creating skills and values ​​that lead to sustainable development, based on equity, social justice and respect for biological diversity; 2) Promote the implementation of policies and measures for adaptation to climate change and the management of climate risks; 3) Foster the development of an environmental awareness and understanding of the environment in its many aspects and its complex relationships; 4) Encourage the adoption of behaviors in the individual and human groups, and the development of skills to search for joint solutions to environmental problems that generate climate change, contributing to the prevention of environmental impacts and the ability to plan solutions those that already exist, emphasizing the impacts generated by climate change; 5) Encourage the extension of practices and sustainable ways of life in the different territorial contexts of the Dominican Republic, based on the rational and supportive use of resources, as well as on the respectful enjoyment of the environment; 6) Articulate environmental education and communication with risk management to develop a culture of resilience aimed at minimizing the effects of disasters caused by natural phenomena and human activity. This would lead to a decrease in adverse effects of these threats and prepare appropriate and immediate responses; 7) Contribute to the construction of a local management based on the principles of sustainability, for which environmental education is an instrument in favor of a sustainable way of life locally; 8) Encourage the mass media to acquire specialized, appropriate technical knowledge related to environmental conservation, in order to adequately disseminate it to the population; and 9) Develop through environmental education an ethical awareness towards environmental values."
"153",2018,"Organic Law on the Public Service of Electricity","Ecuador","ECU","Law","Buildings;Energy;Industry;Waste","16/01/2015|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaGNJIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--657edcaf4c7fa5bd84eeb9ba8aee03f0b20fbf31/f|","Ecuador's new Electricity Law, adopted 16 January 2015, explicitly states the objective of promoting renewable energy sources (including biomass from solid waste) and energy efficiency, and makes the state the key actor in the electricity industry.
The Ministry of Electricity and Renewable Energy (MEER) oversees renewable energy policy and planning. The generation, transmission, distribution and commercialisation of electricity are defined as public service, to be provided primarily by the public sector, under the guidance of the newly created Agency for Regulation and Control of Electricity (ARCONEL - previously National Electricity Board CONELEC). Transmission and distribution of electricity is under the responsibility of state-(majority)-owned companies. Private entities may build and operate power plants and transmission and distribution lines, as long as their generated power does not exceed 50MW.
The law also provides for preferential regulations for renewable energy, in particular prioritizing rural-electrification projects. The Electricity Master Plan and the National Energy Efficiency Plan are to be developed by MEER.
The Electricity Law replaces the Electricity Sector Law (11996) in its most recent version."
