Id,Title,Type,Geography,Geography ISO,Frameworks,Responses,Instruments,Document Types,Natural Hazards,Keywords,Sectors,Events,Documents,Parent Legislation,Description
1137,Act No. 75 on the Civil Defence and Decree-Law No. 170 on the System of measures of Civil Defence (Disaster-management as response to frequent extreme events),legislative,Cuba,CUB,"",Adaptation;Disaster Risk Management,"Capacity building|Governance;Institutional mandates|Governance;Processes, plans and strategies|Governance;Research & Development, knowledge generation|Information",Law,"",Adaptation;Institutions / Administrative Arrangements,Disaster Risk Management (Drm);Economy-wide;Transport,21/12/1994|Law passed||;19/05/1997|Last amended||,Link to law 75 on official website|http://www.parlamentocubano.gob.cu/index.php/documento/ley-de-la-defensa-nacional/|es;Full text of Decree Law 170 (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbW9NIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--bda483175a199dedc2476d73b4a91172f7c936bc/cub82158.pdf|es,,"Law No. 75 defines Civil Defence as 'a system of defensive state measures taken in peacetime during exceptional circumstances, aimed at protecting the population and the national economy from destruction by enemy or from natural disasters and other types of catastrophes, including deterioration of the environment'. When the exceptional circumstances apply, the government can use all the resources and activities of the country to respond to the needs of national defence.&nbsp;<br><br>Decree-Law 170 then lays down the different Civil Defence measures that can be developed to help to prevent the special circumstances from occurring or minimise their impacts. It establishes the National Etat-Major of Civil Defence that co-ordinates the deployment of measures by different state organs, economic entities and social institutions in order to protect the population and the economy. Although the laws do not directly mention climate change, they lay down clear adaptation measures to extreme weather events, whose increased occurrence over the past years is recognised as part of the impact of climate change.<br>&nbsp;<br>&nbsp;In addition, Directive 1 of the Vice-President of the National Defence Council (2010) calls on the Ministry of Science, Technology and Environment to carry out studies on the dangers, vulnerability and risk of disasters, as well as evaluation of potential climate change impacts."
1139,"Decree-Law No. 147 on the Reorganisation of Central State Administrative Organs (creation of Ministry of Sciences, Technology and Environment responsible for Climate Change policy)",legislative,Cuba,CUB,"",Adaptation;Mitigation,"Processes, plans and strategies|Governance",Decree Law,"",Institutions / Administrative Arrangements,Transport,21/04/1994|Law passed||,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbWtIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--38f983960c1781550517020b54f394c820a10a95/f|es,,"The Decree-Law abolishes the National Commission for Energy and other state bodies and transfers its functions to the Ministry of Economy and Planning and Ministry of Basic Industry. It further transforms the Academy of Science of Cuba into the Ministry of Sciences, Technology and Environment, and assigns it the responsibilities previously carried out by the National Commission for Protection of the Environment and the Rational Use of Natural Resources, the National Commission for Atomic Energy (established in 1979) and the Commission Responsible for the Grand National Park Sierra Maestra."
8602,Decree Law no 337 on the terrestrial waters,legislative,Cuba,CUB,"",Adaptation,"",Decree Law,"",Adaptation,Water,01/07/2017|Law passed||,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZzRIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--f9fdd5e9be1b558eaeac2f3e5610ebb31c131e09/f|es,,"The law sets the legal framework to organise the resilience of the country's inner waters, and mentions climate change adaptation as a core goal.<br>&nbsp;<br>&nbsp;The law was approved by the Cuban Parliament and published in the Official Gazette no 124, with Decree no. 337."
10339,Constitution of Cuba,legislative,Cuba,CUB,"",Adaptation;Mitigation,"",Constitution,"",CBDR;equity,Economy-wide,25/02/2019|Constitution adopted||,Full text|https://www.constituteproject.org/constitution/Cuba_2019.pdf?lang=en|en,,"The Constitution of Cuba was approved in a public national referendum in February 2019. It was drafted and submitted to public consultation between 2018 and 2019. The final version, published in January 2019 ahead of the referendum, was approved by 86.85 percent out of 8.7 million voters. In its preamble, the Constitution states Cuba’s commitment to “never returning to capitalism as a regime sustained by the exploitation of man by man, and that it is only in socialism and communism that a human being can achieve his or her full dignity”.&nbsp;<br><br>The Constitution’s climate provision is motivated by Cuba’s sovereignty, as well as the antiimperialist and internationalist principles. This provision sets forth that the Republic will respond to climate change in light of the threat that it represents to humans, but considering the common but differentiated responsibilities principle, the international economic order, as well as production and consumption patterns. This climate provision is set in the Constitution’s main text in article 16, which reads: “The Republic of Cuba bases its international relations on the exercise of its sovereignty as well as on the antiimperialist and internationalist principles in accordance with the interests of the people and, in consequence: [..] f. Promotes the protection and conservation of the environment as well as responding to climate change, which threatens the survival of the human species, through the recognition of common, yet differential, responsibilities; the establishment of a more just and equitable international economic order as well as the eradication of irrational patterns of production and consumption; […]”."
4952,2014-390 Act of 20 June 2014 guidance on sustainable development,legislative,Côte d'Ivoire,CIV,"",Adaptation;Mitigation,Capacity building|Governance,Law,"",Institutions / Administrative Arrangements,Economy-wide,01/06/2012|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdTRHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--df8078c40ea3edc42d0c90874e0268e9db83a38e/f|,,"This law defines the fundamental objectives of governmental action with regard to sustainable development. It notably aims at specifying the related political tools, integrate sustainability principles in all public and private activities, come up with climate change specific tools, and create the conditions for rational and sustainable use of natural resources."
4953,Law n ° 2014-427 (Ivorian forestry code),legislative,Côte d'Ivoire,CIV,"",Adaptation;Mitigation,"Standards, obligations and norms|Regulation;Processes, plans and strategies|Governance",Law,"",Redd+ And Lulucf,Buildings;Environment;LULUCF,01/07/2014|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdXdHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--47b6cf8cf4f3837d24bfe32ddca8e6a806b11ffe/f|,,"This law sets up the Ivorian Forestry Code in order to define sustainable management rules for the country's forests. The law notably aims at reinforcing the forests' contribution to sustainable development, preserve and value the biological diversity, and promote the active participation of local populations and NGOs to sustainable management of forests. The document specifies the different categorisations of forests (for biodiversity conservation, for sustainable commercial use)."
4954,Law No. 2015-537 (Agricultural Guidance of Cote d'Ivoire),legislative,Côte d'Ivoire,CIV,"",Adaptation;Mitigation,"Processes, plans and strategies|Governance",Law,"",Redd+ And Lulucf,Agriculture;LULUCF;Transport,01/07/2015|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdTBHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--b9a36f3903bda1fc8fa2af2cc0782492bcf36e63/f|,,"This law precises the national agricultural development policy of Ivory Coast. It notably aims at developping an agriculture sector ensuring food sovereignty, good nutrition and good employment. The law's dispositions apply among others to agriculture, forestry, agroforestry, unless more specific documents apply. Sustainable land management is one of the core long-term objective.<br>&nbsp;<br>&nbsp;Art. 55 states that the State constitutes a reserve of pre-basic and basic seeds for each of the vegetable, animal, fishery, aquaculture and forestry productions that are seriously threatened by climatic hazards.<br>&nbsp;<br>&nbsp;As part of the program aimed at improving food sovereignty and security by mitigating the effects of climate change on agricultural and food production, the State and local authorities are carrying out rehabilita- tion of hydro-agricultural developments (art. 65)."
4955,Law No. 2014-132 relating to the code of electricity,legislative,Côte d'Ivoire,CIV,"",Mitigation,"Processes, plans and strategies|Governance",Law,"",Energy Supply,Energy,01/03/2014|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdXNHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--0bf4af953ad498f67a4cf961d933301821561c72/f|,,"This law defines the general principles of organization, operation and development and sets specific rules for the electricity sector. It notably aims at 1) guaranteeing energy independence and security of electricity supply; 2) promoting the development of new and renewable energies; 3) develop electrical energy and promote access to this energy; 4) promoting energy management; 5) creating the economic conditions allowing the return on investment; 6) promoting consumer rights; and 7) promoting competition and the rights of operators.<br />
<br />
Art. 30 states that the conclusion of an agreement and the issuance of a prior authorization for the exercise of activities in the field of renewable energies must take into account in particular: 1) the social well-being of the populations; 2) national economic development; 3) coverage of national electricity needs; 4) national food security."
10338,Constitution of Côte d’Ivoire,legislative,Côte d'Ivoire,CIV,"",Mitigation,"",Constitution,"",Climate protection;Healthy environment,Economy-wide,08/11/2016|Constitution Adopted||,Full text|https://www.constituteproject.org/constitution/Cote_DIvoire_2016.pdf?lang=en|en,,"Côte d’Ivoire’s Constitution was established in 2016. This Constitution was drafted by a Panel of Experts appointed by the then President, Alassane Ouattara. The draft was presented to the National Assembly in 2016 for approval before heading to a constitutional referendum. The Assembly approved the draft in October that same year, with more than the qualified majority needed for this purpose. The Constitution was then approved in the subsequent constitutional referendum held later that same month by 93.42% of votes with a 42.42% turnout. In its article 28, the Constitution establishes that “[T]he State is committed to respecting the Constitution, human rights and public freedoms. It ensures awareness and dissemination of them among the population”.&nbsp;<br><br>The Constitution recognizes in article 27 the right to a healthy environment, although climate change is not addressed in this article. However, in its preamble, the Constitution includes a provision to express the country’s commitment to contribute to climate protection the following way: “We, the People of Côte d'Ivoire; […] Express our commitment to: […] contributing to climate protection and to maintaining a healthy environment for future generations; […]”."
1147,Law No. 14/003 on Protection of the Nature,legislative,Democratic Republic of Congo,COD,"",Mitigation,Capacity building|Governance;Subnational and citizen participation|Governance,Law,"",Redd+ And Lulucf,LULUCF;Transport,11/02/2014|Law passed,,,"The law aims to adapt the DRC legal order of protection of nature to modern principles on biological and genetic resources management and to requirements of international conventions, including among others the Treaty on protection and sustainable management of forestry ecosystems in Central Africa.<br />
<br />
The law mandates the government to take into account the potential value of forest carbon sequestration services for climate change mitigation while elaborating the National Strategy on Protection of Nature and the National Forestry Programme.<br />
<br />
The law further calls on the central and regional governments to adopt and implement policies, plans and programmes promoting the contribution of natural and biological resources and ecosystems to the economic growth, rural development, fight against poverty and regulation of the climate."
1148,Law No. 14/011 (Electricity Sector),legislative,Democratic Republic of Congo,COD,"",Mitigation,"Provision of climate funds|Direct Investment;Institutional mandates|Governance;Processes, plans and strategies|Governance",Law,"",Institutions / Administrative Arrangements;Energy Supply;Energy Demand,Energy,17/06/2014|Law passed,,,"The objectives of this law include consolidating laws relating to generation, transmission, distribution, trading and use of electricity and promoting competition in the sector, as well as promoting energy efficiency and environmentally sound policy. It also aims at increasing access to energy in rural areas and secondary cities.<br />
The law creates a National Electrification Agency and a National Electrification Fund."
1150,Law No. 11/022 (Fundamental Agricultural Law),legislative,Democratic Republic of Congo,COD,"",Mitigation,"Institutional mandates|Governance;Processes, plans and strategies|Governance",Law,"",Research And Development;Energy Supply;Redd+ And Lulucf,Agriculture;Energy;LULUCF,24/12/2011|Law passed,,,"Given the huge dependence of the largely rural population on agriculture, this law attempts to support sustainable development; improve agricultural production and provide food self-sufficiency. The purpose of the Law is to promote and increase agricultural production to ensure food security and rural development. Its provisions apply to exploitation; agricultural training and research; financing of agricultural activities; sale of agricultural products; protection of environment; tax and customs regimes; etc. The Law sets a decentralised institutional framework to govern the agricultural policy and creates agricultural advisory boards at the national, provincial and local levels.<br />
<br />
While these aspects of the law are relevant to climate change with regard to land management and land use change (LULUCF), of particular importance is the stated goal of attracting new technology for sustainable energy production, specifically bioenergy and biogas to help shift the energy mix further towards renewable energy"
4956,Law No. 32/AN/13/ 7th L establishing the Djibouti Office of Geothermal Energy Development (ODDEG),legislative,Djibouti,DJI,"",Mitigation,"Institutional mandates|Governance;Processes, plans and strategies|Governance",Law,"",Institutions / Administrative Arrangements;Energy Supply,Energy;Industry,20/01/2014|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdW9HIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--9ec1a64a0499b72dd914b70a9ed887c285f98724/f|,,"This law creates the Djibouti Office of Geothermal Energy Development, which is supervised by the presidency of the republic. The Office is in charge of 1) Identification of the various types of geothermal resources of the country (high and low energy); 2) Conducting exploration, reconnaissance and studies; 3) Pre-feasibility and feasibility studies aimed at the industrial development of these resources and the diversification of their uses; and 4) The identification, with the appropriate partners, of public and private operators likely to ensure the development of geothermal energy production, and any associated products.<br />
<br />
The Office can further work on the following tasks: 1) Ensure greater energy independence and make geothermal energy a basic source in the country's energy mix; 2) Orientation and animation of technological research, initial and continuing training; 3) The development, demonstration and dissemination of applicable techniques; (4) The performance of any construction or work of works relating to its object; - Data collection, information and advice to public and private persons; 5) Participation in the development and implementation of international and bilateral cooperation agreements in relation to its prerogatives; 6) Keep the concerned administrations, and in particular Djibouti Electricity EDD, informed of its projects."
4957,Law no. 90-AN-15-7th L establishing the legislative framework relating to energy efficiency,legislative,Djibouti,DJI,"",Mitigation,"Processes, plans and strategies|Governance",Law,"",Energy Demand,Energy;Social development;Transport,01/07/2015|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdWtHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--6f4ed1aec5d6a6f47561c304a2fda226e398173c/f|,,"This law establishes a framework legal framework in the field of energy efficiency in the Republic of Djibouti. Energy efficiency is recognized by the State of Djibouti as a national priority insofar as it is part of an approach of national independence and sustainable economic and social development respectful of the environment.<br />
<br />
Public and private establishments, whose total primary energy consumption exceeds a threshold set by decree, are subject to the compulsory and periodic energy audit carried out, under the authority of ADME, by an accredited expert auditor. Besides, new energy-consuming projects as well as expansion projects for energy-consuming establishments with a significant energy impact at the national level must be submitted before their completion, to the consultation of the Djiboutian Agency for Energy Management. to improve their energy efficiency."
9230,Law No. 140/AN/06/5th L on National Risk and Disaster Management Policy,legislative,Djibouti,DJI,"",Adaptation;Disaster Risk Management,"Capacity building|Governance;Processes, plans and strategies|Governance",Law,"",Adaptation,"",11/03/2006|Law passed||,full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbVFGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--ff48100f0cf8b9f0440bb3f555cda9b3efa67794/f|,,"This law defines the National Risk and Disaster Management Policy. Risk and disaster management is part of the overall framework of protection and security activities. It is based on integrated and comprehensive procedures that include prevention, warning, preparedness, management, relief, recovery and development measures. Risk and Disaster Management Plans include: - the general plan for risk and disaster management; - support plans for specific risks; - emergency organization plans, known as ORSEC plans; - emergency plans. They define the priorities and priorities for risk and disaster management in the short, medium or long term."
8493,"Geothermal Resources Development Act, 2016",legislative,Dominica,DMA,"",Mitigation,"Institutional mandates|Governance;Processes, plans and strategies|Governance",Law,"",Institutions / Administrative Arrangements;Energy Supply,Energy;Water,24/11/2016|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbFlHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--74e9e97dfd68fc76b07a1bb697d655d8924f0f8b/f|,,"The Geothermal Resources Development Act of 2016 provides legal basis for the development, exploration and use of geothermal resources. It replaces the Geothermal Energy Act of 1976. The Act's objectives are to 1) enable the sustainable use of geothermal energy according to Dominica's population needs, 2) safeguard the life-supporting capacity of air, water, soil and ecosystems, and 3) avoid remedying or mitigating to any material with adverse effects on the environment.<br />
<br />
The Act establishes the Geothermal Resources Advisory Committee and details its duties and attributions. It determines the rules relating to geothermal activities including the creation, acquisition, transfer, exercise and termination of rights. It stipulates that a geothermal resource is sui generis property, but it is ""not a mineral, nor a water resource, nor a real property"". Activities must only developed in special geothermal zones set out by the Minister in accordance with the Committee.<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />"
9750,"Climate Resilience Act, 2018",legislative,Dominica,DMA,"",Adaptation;Disaster Risk Management;Loss And Damage,"Capacity building|Governance;Institutional mandates|Governance;Processes, plans and strategies|Governance;MRV|Governance;Education, training and knowledge dissemination|Information;Research & Development, knowledge generation|Information",Act,Earhquakes;Hurricane,Adaptation;Institutions / Administrative Arrangements;Disaster Risk Management;governance;Climate change risks,Adaptation;Disaster Risk Management (Drm),19/12/2018|Law passed||,Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbzhOIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--c71152cb697e1c99d75659e1e438dd1e42f44341/climate_resilience_act_2018.pdf|en,,"The aims of the Climate Resilience Act are to rebuild Dominica as a climate resilient nation which is better able to withstand future hurricanes, earthquakes and other natural disasters with minimal loss of life and minimal damage to infrastructure, property, and livelihoods. The Act was passed following the devastation caused by Hurricane Maria in 2017.<br><br>Part III of the Act provides a four year mandate to the Climate Resilience Execution Agency for Dominica (CREAD). The functions of CREAD include the preparation of the Dominica Climate Resilience and Recovery Plan, the implementation of recovery measures, and a number of capacity building and knowledge sharing activities.<br><br>"
1162,Law 1-12: National Development Strategy 2030,legislative,Dominican Republic,DOM,"",Adaptation;Mitigation,"Processes, plans and strategies|Governance",Law,"",Adaptation,Economy-wide,01/01/2012|Law passed||,Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbk1NIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--3ca1fafba17297750b345f6e3a809c917e51f87b/ley-estrategia-nacional-de-desarrollo.pdf|es,,"The National Development Strategy was signed into law in January 2012. It contains a central theme that mandates national adaptation to climate change. The Law establishes a binding commitment to achieve a reduction in GHG emissions of 25% by 2030, compared to 2010 levels, and mandates a review of targets to reduce emissions every five years until 2030. Additionally, mandates that GDP increase by 140% over the period 2010-2030."
1165,Law 57-07 on Renewable Energy (supported by the 2008 Renewable Energy Regulating Decree No. 202-08),legislative,Dominican Republic,DOM,"",Mitigation,Tax incentives|Economic,Law,"",Energy Supply,Energy,07/05/2007|Law passed||,Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBblVNIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--48ba644621e961265f1577ade3f823fade6b81e8/Ley-57-07-sobre-Energia-Renovable.pdf|es;Regulation decree (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbllNIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--e6fc855a98bae9f1f1a4a1a34f627cc9a59b44e9/REGLAMENTO-LEY-57-07.pdf|es,,"The law was developed in recognition of the potential that renewable energy and fuels offer to boost development. It constitutes the main regulatory framework for a range of renewable energy production, from producing ethanol to the exploitation of tidal energy.<br>&nbsp;<br>&nbsp;The objectives of the Law include:</div><ul><li>To diversify energy supply</li><li>To reduce dependency on fossil fuel imports</li><li>To promote private investment</li><li>To mitigate the environmental impacts of fossil fuels</li><li>To contribute to decentralisation of power and biofuel production; and increase competition between providers</li></ul><div>&nbsp;<br>&nbsp;The Law sets out tax exemptions and incentives for investors in renewable energy production projects. This constitutes a 100% customs tax exemption and a 10 year income tax exemption. For self-producers (e.g. domestic) a credit of up to 75% on capital costs is provided against income tax. There are also provisions for community projects.<br>&nbsp;<br>&nbsp;This includes, but is not limited to, small hydro-electric installations with capacity of not more than 5MW; wind parks with capacity of not more than 50MW; and electric and solar installations of any type and power levels.<br>&nbsp;<br>&nbsp;There are special rules for production of bioethanol, biodiesel and any other synthetic renewable fuel. Specifically, the Law provides for a 10-year exemption on income tax, duties, contributions and any other taxed from the beginning of operations for companies."
1166,Law 125-01: General electricity law,legislative,Dominican Republic,DOM,"",Mitigation,Tax incentives|Economic,Law,"",Energy Supply;Renewables,Energy,26/07/2001|Law passed||,Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbklNIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--be63b375fec314881c72c4ba19702264d06666d3/Ley-No.-125-01-General-de-Electricidad.pdf|es,,"This Law establishes a tax on electricity production from fossil fuels. The tax 'is specifically allocated to be spent on programmes and projects for the development of renewable sources of energy at a national level, and for national energy efficiency programmes."
1167,Law 112-00: Law on hydrocarbons,legislative,Dominican Republic,DOM,"",Mitigation,Tax incentives|Economic;Provision of climate funds|Direct Investment,Law,"",Energy Supply;Renewables,Energy;Transport,29/11/2000|Law passed||,full text|http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1167.pdf|es;regulation|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBb0lLIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--93417408deb735da6db17c698c27010a41a2fa6a/1167%20-%20regulation.pdf|es,,"A fund has been established from tax on fossil fuel and petroleum derivatives, beginning in 2005. The tax is specifically allocated to be spent on programmes and projects for the development of renewable sources of energy at a national level, and for national energy efficiency programmes."
8733,National Adaptation Strategy for the Agricultural Sector 2014-2020,legislative,Dominican Republic,DOM,"",Adaptation,"Processes, plans and strategies|Governance;Research & Development, knowledge generation|Information",Strategy,"",Adaptation,Agriculture,25/12/2014|Law passed||,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc3dGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--6d3f9dcd727f33fd94a553934688752dc5c4f5bc/f|es,,"This document sets the government's adaptation strategy for the agricultural sector over the period 2014-2020. The objective of this document is to establish the necessary elements to identify, articulate and guide the policy instruments, as well as the actions and measures necessary to strengthen the adaptation capacities of the agricultural sector. It is mainly focused on small and medium agricultural producers, reducing the vulnerabilities of their production systems, through the reduction of climate risks and the increase of resilience. The strategy defines and promotes agricultural innovation and research processes through the use of a model that allows to adjust, reduce and achieve a greater resilience capacity of production systems in the face of vulnerability and the effects of climate change."
9053,Law No. 147 on Risk Management,legislative,Dominican Republic,DOM,"",Adaptation;Disaster Risk Management,"Early warning systems|Direct Investment;Capacity building|Governance;Institutional mandates|Governance;Education, training and knowledge dissemination|Information",Law,"",Adaptation;Institutions / Administrative Arrangements;Research And Development;Disaster Risk Management,Buildings;LULUCF;Transport,22/09/2002|Law passed||,Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcjBFIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--18c5949772f9cce21999ee516bdc0f307bff84f7/f|es,,"This law outlines the overall framework of disaster risk management in the Dominican Republic. It establishes a National System for Prevention, Mitigation and Disaster Response to coordinate government, private sector, and NGO activities, install and consolidate early warning and alert systems, carry out risk assessments, develop and maintain a database of government efforts to manage risks, disclose information to the public, mainstream risk management into land use plans, identify at-risk areas, create an environmental and risk management policy, design and coordinate sustainable recovery process, develop and update emergency plans, establish protection measures in infrastructure works, promote capacity building in government, incorporate risk management into education curricula, and develop a training system for government staff.<br><br>This law notably builds on organic law 66/97 on education, that seeks to raise awareness and education on disaster risk management.<br><br>The law was notably amended by decree 874/09."
9059,Law No. 103 of incentive to import non-conventional energy vehicles,legislative,Dominican Republic,DOM,"",Mitigation,Tax incentives|Economic,Law,"",Mitigation;Transport,Energy;Transport,02/08/2013|Law passed||,Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcndFIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--8adbe64564e10e00df7d7bcc7fa4509d9cbdd831/f|es,,"This law reduces import tariffs on cars that run on alternative fuels, such as hybrid and electric vehicles."
9521,Law 94-20 on Environmental Education and Communication,legislative,Dominican Republic,DOM,"",Adaptation;Mitigation,"Education, training and knowledge dissemination|Information;Research & Development, knowledge generation|Information",Law,"",Education,Social development,31/07/2020|Promulgated||,Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbEFNIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--21bed9d15c08ee226b97a18209f0c7abf79cec73/471036283-Ley-94-20.pdf|es,,"This law aims to include environmental education into all levels of the country's schooling and academic system.&nbsp;<br><br>Its stated goals are 1) build skills by creating skills and values ​​that lead to sustainable development, based on equity, social justice and respect for biological diversity; 2) Promote the implementation of policies and measures for adaptation to climate change and the management of climate risks; 3) Foster the development of an environmental awareness and understanding of the environment in its many aspects and its complex relationships; 4) Encourage the adoption of behaviors in the individual and human groups, and the development of skills to search for joint solutions to environmental problems that generate climate change, contributing to the prevention of environmental impacts and the ability to plan solutions those that already exist, emphasizing the impacts generated by climate change; 5) Encourage the extension of practices and sustainable ways of life in the different territorial contexts of the Dominican Republic, based on the rational and supportive use of resources, as well as on the respectful enjoyment of the environment; 6) Articulate environmental education and communication with risk management to develop a culture of resilience aimed at minimizing the effects of disasters caused by natural phenomena and human activity. This would lead to a decrease in adverse effects of these threats and prepare appropriate and immediate responses; 7) Contribute to the construction of a local management based on the principles of sustainability, for which environmental education is an instrument in favor of a sustainable way of life locally; 8) Encourage the mass media to acquire specialized, appropriate technical knowledge related to environmental conservation, in order to adequately disseminate it to the population; and 9) Develop through environmental education an ethical awareness towards environmental values."
10340,Constitution of Dominican Republic,legislative,Dominican Republic,DOM,"",Adaptation;Mitigation,"",Constitution,"","","",13/06/2015|Constitution adopted||,Full text document|https://www.constituteproject.org/constitution/Dominican_Republic_2015.pdf?lang=en|en,,"The Constitution of Dominican Republic was adopted in 2015; one of almost 40 Constitutions that the country has had since its first Constitution from 1844.&nbsp; The Congress, transformed into a Reviewing National Assembly (Asamblea Nacional Revisora), approved this latest Constitution with 168 votes in favor, one against and 78 absentees. An interesting feature of this Constitution is that its preamble establishes that the Republic is ruled by the supreme value and fundamental principle of, among others, ecological equilibrium. Its climate provision was included within an article that establishes a plan of territorial ordering. This article provides for a territorial order that ensures efficient and sustainable use of natural resources to adapt to climate change. It further states that this is a priority of the State. The article referred to, article 194, reads: “The formulation and execution, through law, of a plan of territorial ordering that ensures the efficient and sustainable use of the natural resources of the Nation, in accordance with the necessity of adaptation to climate change, is a priority of the State”.&nbsp;"
